side,year,miles,gas
left,1956,3683.6965,2.3829
right,1957,3722.7648,2.4026
bottom,1958,3776.8595,2.2539
top,1959,3912.0962,2.3079
right,1960,3942.1488,2.2658
bottom,1961,3984.2224,2.2526
right,1962,4089.4064,2.2158
bottom,1963,4230.6536,2.1237
bottom,1964,4383.9219,2.1039
bottom,1965,4546.2059,2.1368
top,1966,4681.4425,2.1421
bottom,1967,4837.716,2.1408
right,1968,5048.0841,2.1263
right,1969,5216.3787,2.0737
right,1970,5384.6732,2.0118
bottom,1971,5652.1412,1.9316
bottom,1972,5979.7145,1.8737
right,1973,6160.0301,1.9026
left,1974,5946.6566,2.3447
bottom,1975,6117.9564,2.3079
bottom,1976,6400.4508,2.3237
right,1977,6634.861,2.3592
bottom,1978,6890.308,2.2288
left,1979,6755.0714,2.6829
